k: AF AD CE B5 2F DA 35 3F B8 79 28 93 88 70 D5 75 A0 87 48 F2 7A D5 13 04 32 82 16 0A EB EA 23 D4 
P: 93 DF 20 F3 24 E4 62 B1 1E CD 1B 9A B7 93 F5 61 23 D0 0E 78 78 D6 30 88 99 4E 7C 60 5B CB 1B 7E 
s: 6C 5F 2F 63 69 DE 08 82 C8 6D 1F 52 2B 30 42 D8 BF DC BC DB A8 25 B9 B8 CF 52 14 9C 43 8E 6B 06 
k: A0 5B 85 7C 64 8A 6A 5B B7 CD 1B 72 CE FC 22 0B 48 F3 CE 99 6F 65 2D 69 F9 73 E5 8C 36 A6 72 83 
P: F0 C1 56 99 A0 13 9C 60 8C C3 97 51 89 29 16 C0 7C C7 A4 D4 0D C6 01 8F 9B AF 13 69 C7 DA 4A 7E 
s: 48 32 6A 52 78 76 63 7F 76 C4 D7 79 07 38 0F 17 5C 9D 7F 04 38 72 AF 60 E0 82 A5 79 3C E2 3C 02 
k: DD 83 76 A8 A4 06 34 02 77 9A 78 F9 C2 7B 87 5A 1D D1 4C A1 0E 27 4D C0 DB 5E 54 D9 45 4B E1 F6 
P: 22 05 37 C5 41 C1 EA 2A 63 DC 8D 06 30 DB 9A 9E FE 45 E4 DC F7 49 EC F1 25 42 1F 23 07 78 40 5F 
s: 20 97 FC 3A FA FE 09 6D 77 C0 09 A9 F1 18 A9 27 58 A4 CC 81 19 6B 8A 3F 5D AE AD AC 2E 32 65 00 
k: 3A 38 33 5B 6C E1 95 B6 A2 83 DD 22 94 F5 2E 3C 26 E7 83 9B 21 52 30 FA 01 C3 C5 F7 A0 91 F5 4B 
P: 05 7E 20 F7 03 67 C3 8D 3A 17 9D 66 4B FD 86 7D 12 C6 AC 01 8B 2B 1F D1 8A 49 DF 07 7E 3B 2F 6C 
s: 79 43 7D AB D5 0F 03 67 CF 66 6F F1 A9 0E 19 27 4A 84 46 EA 23 B6 88 CC 53 A0 14 8D 6E D6 8E 0C 
k: 11 C4 2F F5 6F C2 AF 65 07 EC DA F4 C6 2C 1E AA 2F C9 54 D9 E4 D2 3F 50 FE 2D C8 18 65 BC 2E 5F 
P: AC 7D C2 4C 3E 02 5D EA 5E D8 49 4F C2 45 97 86 D9 EC F0 E3 D0 E9 E1 08 24 87 8C F9 93 D7 6A 63 
s: 84 96 9E 48 93 D1 2A 1C 5B F4 F6 DE 16 D9 A1 2D 32 F8 62 3D 1F AD D1 89 3C 43 C0 E8 47 A7 7F 0E 
k: BE D8 F7 5E 13 59 EF 77 17 36 16 43 B1 14 28 B1 47 4D B9 C8 87 E4 DE 1F 45 03 5D 02 C6 F8 4B C1 
P: DC 5F 90 0D 89 09 86 FA 5E 14 F1 F5 88 DE 6A CA 6F 47 E1 0E A5 68 6E 30 2C 0D 41 D4 85 93 5C 34 
s: 39 C1 CB 1E 1F 64 B6 BE B4 A0 93 55 45 1E 35 A0 6C 8D A6 13 27 0A DA B4 A3 0C 3C 9D 25 FB AA 08 
k: 23 CA 0B CF F4 1E 9E 9A 68 94 64 2A 00 98 AB 95 40 10 E9 17 B0 7B 02 D6 AE D4 1F 97 89 0C 90 32 
P: 74 CF 54 96 BC 6E 78 E6 1A 56 41 89 D7 7C E3 D3 D4 14 EB 98 FD B0 51 BE F8 D7 35 E6 1A 59 E7 5B 
s: C6 C8 E3 BC 57 FC 16 37 52 8C 28 B8 0E BC 9B D6 02 F8 9B 51 29 1E 6C 72 6D FC F1 04 A9 4E 4C 03 
k: 25 DB 78 F2 60 EA 74 63 36 6A 3F 5A 32 AF D3 9E 33 0A DA 91 F6 80 5B 3D F5 4A D0 FC 86 54 5C 48 
P: E1 C6 7F 2B 09 89 30 DE 9E 6C 56 22 65 5B 2B 3A D1 BD B4 7A 66 77 AF 1F F1 5C 38 78 8B 33 7D 68 
s: A3 51 7D 1F 54 D6 9A 6B 36 33 96 8C C2 49 37 83 74 BB 42 E9 38 D8 FE FA 06 2A 55 87 C7 15 2B 0F 
k: 2D 9A 7E 4E DA 50 1F BB DD 3B 34 47 1C C7 53 D8 F9 32 8F 5D 67 DB 9D C0 3B 9E 00 56 2D 13 BD 52 
P: 0E A4 83 D5 11 5C 94 54 9B 4E E1 09 6C 03 12 83 45 7F EB 5E 28 C9 D9 62 C7 98 67 99 FB ED FA 4A 
s: A8 3A 8B 49 D3 92 66 D0 9A E2 23 FD 0F 3B 73 E3 F6 8C 7E 66 2B 4A 88 B8 46 A0 BF 15 74 6F 03 0C 
k: A7 4D D3 69 98 D9 D8 EE 60 2F 32 74 65 77 DA 5F B2 36 E7 45 02 4B AE 19 83 9E EA F8 FD 0E C1 F0 
P: EE C0 52 F3 8F 36 29 BF F7 A0 70 73 C1 2B 0B F5 67 91 8F C5 7F 21 AE 32 1C B3 4A 1B D3 56 72 10 
s: 8D AF 0B 0B 1F 77 74 7E DC A6 11 B9 D3 0C C4 E8 67 F7 59 7F C9 AE A6 F0 05 D6 76 C1 36 52 76 04 
k: 86 70 59 CC 05 00 8E 64 E5 1C D7 1A 09 89 B4 80 42 3A DD F3 3E 13 C1 75 36 4C AD 8B 0E 81 B6 03 
P: 6A EE 67 8D 4D DB 8C 78 1C C4 76 8D 84 EC EE 38 77 16 BA BB A4 07 88 71 BC 96 08 C3 8C CD E5 16 
s: C1 0D 7F D6 28 1A C7 3E E2 88 BC 80 82 45 5B DA B6 0E 11 FC E7 8B ED 48 73 D4 CF E6 84 5D C5 07 
k: BE 3E 58 2C 3F 06 2B 30 37 2F 1E 9D D7 4C 5A F5 CF AF 6D 91 82 75 B3 4D A0 00 75 74 88 53 A7 DA 
