v: 64 F3 48 70 86 44 0A A7 EE 4B 7A F0 6C 7B 75 50 3A 20 E0 99 2A DC 5A CE 1A 90 20 33 A0 BC F0 08 
h: 7D ED 0D 2C F1 B9 ED C4 D8 D0 0E 38 08 56 73 44 9D AB B5 7F 37 FA 69 93 11 54 3A DC B4 F8 13 A5 
x: BE 7D 82 1F 60 3B 03 BF 55 0F 1E 54 CB 49 A7 77 00 77 06 55 F5 F5 DE 74 1A CB 4A 60 2D 4D 92 E8 
s: AF AD CE B5 2F DA 35 3F B8 79 28 93 88 70 D5 75 A0 87 48 F2 7A D5 13 04 32 82 16 0A EB EA 23 D4 
v: E2 6B 6F BF F9 2B 3B F0 32 88 0F 4B EC 5C C0 E1 81 7C 76 93 0D 3A A1 06 6B A3 51 03 FA 2F DC 06 
h: 7D ED 0D 2C F1 B9 ED C4 D8 D0 0E 38 08 56 73 44 9D AB B5 7F 37 FA 69 93 11 54 3A DC B4 F8 13 A5 
x: 3F CA 22 86 AA B3 1C 29 80 48 41 A2 0A 7C BD 19 1D 77 0C 26 A0 FD EE CA DA FE 14 97 E8 C4 FA 48 
s: A0 5B 85 7C 64 8A 6A 5B B7 CD 1B 72 CE FC 22 0B 48 F3 CE 99 6F 65 2D 69 F9 73 E5 8C 36 A6 72 83 
v: 50 80 66 FA 62 F6 C5 1C DD 64 87 2D 0E E1 B8 71 E8 CF C5 66 86 C6 0D E7 50 6D FD AB 00 A4 F9 0C 
h: 7D ED 0D 2C F1 B9 ED C4 D8 D0 0E 38 08 56 73 44 9D AB B5 7F 37 FA 69 93 11 54 3A DC B4 F8 13 A5 
x: 0B 2A 4E 71 28 FB A8 8B 12 F1 3C 95 A0 1A 00 8F 2C F8 DA 0E 7B 98 8B EE F6 FF 4A C5 C8 2D 77 66 
s: DD 83 76 A8 A4 06 34 02 77 9A 78 F9 C2 7B 87 5A 1D D1 4C A1 0E 27 4D C0 DB 5E 54 D9 45 4B E1 F6 
v: 9F 08 C4 B1 E5 91 AE 78 74 F5 49 2F 47 47 27 37 9A E1 31 D8 75 C5 0B F5 5A DD C0 AF 51 EF 3A 0A 
h: 7D ED 0D 2C F1 B9 ED C4 D8 D0 0E 38 08 56 73 44 9D AB B5 7F 37 FA 69 93 11 54 3A DC B4 F8 13 A5 
x: 6C EB 85 F6 CB 7C 31 3B A2 89 1A D3 E3 06 C7 F5 E7 6C EA 46 81 D5 76 40 98 6F 77 3A 64 C2 A6 70 
s: 3A 38 33 5B 6C E1 95 B6 A2 83 DD 22 94 F5 2E 3C 26 E7 83 9B 21 52 30 FA 01 C3 C5 F7 A0 91 F5 4B 
v: 89 C2 12 CB 2C 50 ED D0 F6 72 B5 40 A1 3B AC BA B4 B7 54 3B FE EB B5 5E 41 BB 76 8C 71 68 C4 06 
h: BE 7D 82 1F 60 3B 03 BF 55 0F 1E 54 CB 49 A7 77 00 77 06 55 F5 F5 DE 74 1A CB 4A 60 2D 4D 92 E8 
x: 7D ED 0D 2C F1 B9 ED C4 D8 D0 0E 38 08 56 73 44 9D AB B5 7F 37 FA 69 93 11 54 3A DC B4 F8 13 A5 
s: 11 C4 2F F5 6F C2 AF 65 07 EC DA F4 C6 2C 1E AA 2F C9 54 D9 E4 D2 3F 50 FE 2D C8 18 65 BC 2E 5F 
v: 07 CC FD FF 1F 12 BC D4 35 8B F5 AA EF B3 4F 4C 09 27 20 73 66 82 6C 1E 19 9C 2D 36 D0 14 8D 02 
h: BE 7D 82 1F 60 3B 03 BF 55 0F 1E 54 CB 49 A7 77 00 77 06 55 F5 F5 DE 74 1A CB 4A 60 2D 4D 92 E8 
x: 3F CA 22 86 AA B3 1C 29 80 48 41 A2 0A 7C BD 19 1D 77 0C 26 A0 FD EE CA DA FE 14 97 E8 C4 FA 48 
s: BE D8 F7 5E 13 59 EF 77 17 36 16 43 B1 14 28 B1 47 4D B9 C8 87 E4 DE 1F 45 03 5D 02 C6 F8 4B C1 
v: 02 21 4D E5 68 1A 9A 86 75 AC 84 E4 76 47 D6 E5 3C B0 E6 C8 C2 3D 3F 99 FE AF 5C C1 E3 2C 68 0D 
h: BE 7D 82 1F 60 3B 03 BF 55 0F 1E 54 CB 49 A7 77 00 77 06 55 F5 F5 DE 74 1A CB 4A 60 2D 4D 92 E8 
x: 0B 2A 4E 71 28 FB A8 8B 12 F1 3C 95 A0 1A 00 8F 2C F8 DA 0E 7B 98 8B EE F6 FF 4A C5 C8 2D 77 66 
s: 23 CA 0B CF F4 1E 9E 9A 68 94 64 2A 00 98 AB 95 40 10 E9 17 B0 7B 02 D6 AE D4 1F 97 89 0C 90 32 
v: 75 0B E8 6B 2F 6C 4B 7F 13 AF 30 64 E7 8C 72 98 C8 FF 8A 49 78 60 06 45 63 FE B3 CA C8 F6 E1 03 
h: BE 7D 82 1F 60 3B 03 BF 55 0F 1E 54 CB 49 A7 77 00 77 06 55 F5 F5 DE 74 1A CB 4A 60 2D 4D 92 E8 
x: 6C EB 85 F6 CB 7C 31 3B A2 89 1A D3 E3 06 C7 F5 E7 6C EA 46 81 D5 76 40 98 6F 77 3A 64 C2 A6 70 
s: 25 DB 78 F2 60 EA 74 63 36 6A 3F 5A 32 AF D3 9E 33 0A DA 91 F6 80 5B 3D F5 4A D0 FC 86 54 5C 48 
v: 4F 4D F5 39 9C 4A FE 29 6A 05 4C DC 5E FE F4 61 A6 BF 2A B2 D3 E8 E2 44 C7 E1 C4 1B B6 E1 B6 05 
h: 3F CA 22 86 AA B3 1C 29 80 48 41 A2 0A 7C BD 19 1D 77 0C 26 A0 FD EE CA DA FE 14 97 E8 C4 FA 48 
