Y: 50 C9 6C DA E7 AD 8D 36 A2 34 1A 95 21 8A A1 4A E1 48 32 74 5E C9 59 8A C0 83 A4 85 B0 97 CE 60 
v: AF AD CE B5 2F DA 35 3F B8 79 28 93 88 70 D5 75 A0 87 48 F2 7A D5 13 04 32 82 16 0A EB EA 23 D4 
h: A0 5B 85 7C 64 8A 6A 5B B7 CD 1B 72 CE FC 22 0B 48 F3 CE 99 6F 65 2D 69 F9 73 E5 8C 36 A6 72 83 
P: DD 83 76 A8 A4 06 34 02 77 9A 78 F9 C2 7B 87 5A 1D D1 4C A1 0E 27 4D C0 DB 5E 54 D9 45 4B E1 F6 
Y: 5E BE 07 EB 6D 6F D0 24 A4 8C 83 65 1F CD FD B9 62 C4 6E C5 34 C6 95 D2 57 44 6B 4B 19 2F C8 3A 
v: 3A 38 33 5B 6C E1 95 B6 A2 83 DD 22 94 F5 2E 3C 26 E7 83 9B 21 52 30 FA 01 C3 C5 F7 A0 91 F5 4B 
h: 11 C4 2F F5 6F C2 AF 65 07 EC DA F4 C6 2C 1E AA 2F C9 54 D9 E4 D2 3F 50 FE 2D C8 18 65 BC 2E 5F 
P: BE D8 F7 5E 13 59 EF 77 17 36 16 43 B1 14 28 B1 47 4D B9 C8 87 E4 DE 1F 45 03 5D 02 C6 F8 4B C1 
Y: 91 28 3A F3 CD BB 34 BD 30 67 E2 50 DE 3F 37 E6 71 E6 5F 38 41 7E 76 0B 9E 9D 6A C1 14 20 18 66 
v: 23 CA 0B CF F4 1E 9E 9A 68 94 64 2A 00 98 AB 95 40 10 E9 17 B0 7B 02 D6 AE D4 1F 97 89 0C 90 32 
h: 25 DB 78 F2 60 EA 74 63 36 6A 3F 5A 32 AF D3 9E 33 0A DA 91 F6 80 5B 3D F5 4A D0 FC 86 54 5C 48 
P: 2D 9A 7E 4E DA 50 1F BB DD 3B 34 47 1C C7 53 D8 F9 32 8F 5D 67 DB 9D C0 3B 9E 00 56 2D 13 BD 52 
Y: 15 91 C0 3A 1B BB CE DB 64 16 AD 64 8A 69 F9 91 F3 D9 8C 47 CF 56 8C 6C 3E F3 8F 70 F2 88 BA 0F 
v: A7 4D D3 69 98 D9 D8 EE 60 2F 32 74 65 77 DA 5F B2 36 E7 45 02 4B AE 19 83 9E EA F8 FD 0E C1 F0 
h: 86 70 59 CC 05 00 8E 64 E5 1C D7 1A 09 89 B4 80 42 3A DD F3 3E 13 C1 75 36 4C AD 8B 0E 81 B6 03 
P: BE 3E 58 2C 3F 06 2B 30 37 2F 1E 9D D7 4C 5A F5 CF AF 6D 91 82 75 B3 4D A0 00 75 74 88 53 A7 DA 
